P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12.1,P12.2,P12.3,P12.4,P12.5,P12.6,P12.7,P12.8,P12.9,P13,P14,P15,P16,P17.1,P17.2,P17.3,P17.4,P17.5,P17.6,P18,P19,P20.1,P20.2,P20.3,P20.4,P20.5,P20.6,P20.7,P21.1,P21.2,P21.3,P22.1,P22.2,P22.3,P23,P24.1,P24.2,P24.3,P24.4,P24.5,P24.6,P12.I,P17.I,P20.I,P22.I,P24.I
Hombre,Española,Entre 45 y 54 años,Educación Primaria,Carrús,En paro,Calzado,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Poca,Poca,Poca,Poca,Poca,Poca,Poca,Igual,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,No,10,4,6,3,4
Hombre,Española,Entre 35 y 44 años,Formación Profesional,Altabix,Trabajador por cuenta ajena,Resto sector servicios,Entre 21 y 30 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,Moderada o mucha,Más,Ha aumentado,No,Empresario,Sí,Sí,Sí,No,Sí,Sí,Lo que diga la ley,Sí,Sí,No,Sí,Sí,Sí,No,Sí,6,3,2,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,14,5,5,2,5
Hombre,Española,De 65 en adelante,Educación Primaria,Altabix,Trabajador por cuenta ajena,Otro,31 o más años cotizados,En general responsables,Muy responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,Moderada o mucha,NS-NC,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Nada,Sí,Sí,No,Sí,Sí,Sí,No,Sí,3,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,16,4,5,3,5
Mujer,Española,Entre 55 y 64 años,Educación Primaria,Carrús,Ama/o de casa,Amo/a de casa,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,NS-NC,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Igual,Ha disminuido,NS-NC,Trabajador y empresario,Sí,No,Sí,No,No,Sí,Lo que diga la ley,Sí,No,No,Sí,No,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,No,No,Sí,Sí,Sí,Sí,9,3,3,3,3
Hombre,Española,De 65 en adelante,Educación Primaria,Altabix,Jubilado/Pensionista,Calzado,31 o más años cotizados,Muy responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Moderada o mucha,NS-NC,NS-NC,NS-NC,NS-NC,Igual,Ha disminuido,Sí,Empresario,Sí,Sí,No,No,No,Sí,Lo que diga la ley,Sí,No,No,No,No,Sí,No,No,3,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,6,3,1,3,5
Hombre,Española,Entre 35 y 44 años,Formación Profesional,Carrús,Trabajador autónomo,Resto sector servicios,Entre 10 y 20 años cotizados,Poco responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,Poca,NS-NC,NS-NC,Poca,Poca,NS-NC,Más,Ha disminuido,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,No,No,Sí,No,Sí,3,4,3,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,8,6,2,2,5
Hombre,Española,Entre 35 y 44 años,Bachillerato,Carrús,Trabajador por cuenta ajena,Resto sector servicios,Entre 21 y 30 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,NS-NC,NS-NC,NS-NC,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,NS-NC,Ni ha disminuido ni ha aumentado,NS-NC,A nadie (a largo plazo),Sí,No,Sí,No,No,Sí,Nada,Sí,No,Sí,Sí,No,Sí,No,Sí,0,0,0,En desacuerdo,En desacuerdo,De acuerdo,Sí,No,No,No,No,Sí,No,6,3,4,1,1
Mujer,Española,Entre 35 y 44 años,Educación secundaria,Altabix,Trabajador por cuenta ajena,Otro,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,NS-NC,NS-NC,Poca,NS-NC,NS-NC,Poca,NS-NC,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Otro,Sí,No,No,Sí,No,Sí,No,Sí,3,6,5,De acuerdo,De acuerdo,De acuerdo,Sí,No,No,Sí,Sí,No,No,5,6,3,3,2
Hombre,Española,Entre 55 y 64 años,Educación Primaria,Carrús,Trabajador por cuenta ajena,Resto sector servicios,Entre 21 y 30 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,NS-NC,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,Sí,Sí,Ns/Nc,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,3,0,2,En desacuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,11,5,6,1,5
Mujer,Española,Entre 45 y 54 años,Título Universitario,Ciutat Vella,Trabajador por cuenta ajena,Sanidad,Entre 21 y 30 años cotizados,En general responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,NS-NC,NS-NC,NS-NC,NS-NC,Moderada o mucha,NS-NC,Moderada o mucha,Poca,NS-NC,NS-NC,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,No,Sí,No,No,Sí,NS-NC,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,0,0,0,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,5,3,7,2,5
Mujer,Española,Entre 18 y 24 años,Formación Profesional,Altabix,Estudiante,Estudiando,Nunca he cotizado,Muy responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Poca,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Igual,Ha aumentado,Sí,Empresario,Sí,No,Sí,No,No,Sí,Lo que diga la ley,Sí,No,No,Sí,Sí,Sí,No,Sí,4,4,3,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,14,3,4,2,5
Mujer,Española,Entre 25 y 34 años,Educación secundaria,Carrús,En paro,Calzado,Menos de 10 años cotizados,Poco responsables,En general responsables,Frecuentes: 2 personas de cada 4,Poca,NS-NC,NS-NC,Poca,NS-NC,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Más,Ni ha disminuido ni ha aumentado,Sí,Trabajador y empresario,Sí,Sí,Sí,No,Sí,Sí,NS-NC,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,0,0,2,En desacuerdo,De acuerdo,De acuerdo,Quizás,Sí,Sí,Sí,Sí,No,Sí,6,5,7,2,4
Mujer,Extranjera,Entre 45 y 54 años,Bachillerato,Ciutat Vella,Trabajador autónomo,Resto sector servicios,Nunca he cotizado,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Moderada o mucha,NS-NC,NS-NC,NS-NC,Menos,Ha aumentado,NS-NC,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,No,No,No,No,No,0,0,0,De acuerdo,De acuerdo,De acuerdo,Quizás,Sí,Sí,Sí,Sí,Sí,No,2,6,0,3,5
Hombre,Española,De 65 en adelante,Título Universitario,Altabix,Jubilado/Pensionista,Construcción,31 o más años cotizados,Poco responsables,Muy poco responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Más,Ha disminuido,Sí,Empresario,Sí,No,Sí,No,Sí,Sí,Nada,Sí,Sí,Sí,Sí,No,Sí,No,Sí,4,3,5,En desacuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,No,No,No,Sí,14,4,5,1,2
Hombre,Española,Entre 25 y 34 años,Educación Primaria,Carrús,En paro,Resto sector servicios,Entre 10 y 20 años cotizados,Muy poco responsables,Muy responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Moderada o mucha,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,Sí,No,Sí,Sí,Sí,No,Sí,5,2,1,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,14,6,5,3,5
Mujer,Española,De 65 en adelante,Educación secundaria,Ciutat Vella,Jubilado/Pensionista,Educación,31 o más años cotizados,Poco responsables,Poco responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Más,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,Sí,Sí,Nunca trabajaria en negro,Sí,No,No,Sí,Sí,Sí,Sí,Sí,0,0,0,De acuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,No,No,Sí,Sí,2,5,5,2,3
Mujer,Española,De 65 en adelante,Educación Primaria,Ciutat Vella,Jubilado/Pensionista,Otro,Entre 10 y 20 años cotizados,Poco responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Poca,Moderada o mucha,Poca,Poca,NS-NC,Más,Ni ha disminuido ni ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,Sí,No,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,3,1,1,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,10,5,7,2,5
Mujer,Española,De 65 en adelante,Educación secundaria,El Pla,Jubilado/Pensionista,Calzado,Entre 21 y 30 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,Moderada o mucha,Moderada o mucha,NS-NC,Poca,Poca,Más,Ha aumentado,Sí,Empresario,Sí,No,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,Sí,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,12,5,4,3,5
Mujer,Española,De 65 en adelante,Educación secundaria,Carrús,Jubilado/Pensionista,Amo/a de casa,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Poca,Poca,Poca,Poca,Poca,Poca,Poca,Más,Ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,No,No,No,No,Sí,No,Sí,0,0,0,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,10,4,2,2,5
Mujer,Española,De 65 en adelante,Bachillerato,Campo Elche,Trabajador autónomo,Resto sector servicios,Entre 10 y 20 años cotizados,Poco responsables,Muy poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,NS-NC,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,Moderada o mucha,Igual,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,Sí,Sí,NS-NC,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,0,8,3,En desacuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,No,No,12,5,6,1,4
Mujer,Extranjera,Entre 55 y 64 años,Bachillerato,Carrús,En paro,Sanidad,Menos de 10 años cotizados,En general responsables,Muy responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Poca,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Más,Ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,No,Sí,Sí,Nada,Sí,Sí,No,Sí,No,Sí,No,Sí,3,0,0,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,11,5,4,2,5
Hombre,Española,Entre 25 y 34 años,Educación Primaria,Altabix,Trabajador por cuenta ajena,Calzado,Menos de 10 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Poca,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Poca,Más,Ni ha disminuido ni ha aumentado,Sí,Otro,Sí,Sí,Sí,No,Sí,Sí,Otro,Sí,Sí,No,No,No,Sí,No,Sí,8,8,4,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,12,5,3,3,5
Hombre,Española,De 65 en adelante,Educación Primaria,Carrús,Jubilado/Pensionista,Calzado,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Más,Ni ha disminuido ni ha aumentado,NS-NC,Empresario,Sí,Sí,Sí,No,Sí,Sí,NS-NC,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,7,4,7,En desacuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,No,No,13,5,6,1,4
Mujer,Española,De 65 en adelante,Título Universitario,El Pla,Trabajador por cuenta ajena,Resto sector servicios,Entre 21 y 30 años cotizados,Poco responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,NS-NC,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,1,8,8,En desacuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,Sí,18,5,7,1,4
Mujer,Española,Entre 18 y 24 años,Título Universitario,El Pla,Estudiante,Nunca ha trabajado,Nunca he cotizado,Muy responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Igual,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,3,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,17,6,6,3,5
Mujer,Española,Entre 45 y 54 años,Formación Profesional,Torrellano,Trabajador autónomo,Resto sector servicios,Menos de 10 años cotizados,Poco responsables,Poco responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Igual,Ni ha disminuido ni ha aumentado,Sí,Trabajador y empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,No,No,Sí,No,Sí,5,5,4,De acuerdo,De acuerdo,De acuerdo,Sí,No,No,Sí,Sí,Sí,No,17,6,2,3,3
Hombre,Española,De 65 en adelante,Bachillerato,Carrús,Jubilado/Pensionista,Resto sector servicios,31 o más años cotizados,Poco responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Más,Ha disminuido,Sí,A nadie (a largo plazo),No,Sí,Sí,Sí,No,Sí,Otro,No,Sí,Sí,Sí,No,Sí,No,Sí,5,6,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,16,4,5,3,5
Hombre,Española,Entre 18 y 24 años,Formación Profesional,Campo Elche,Trabajador por cuenta ajena,Hostelería-Turismo,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Poca,Poca,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Igual,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,Sí,Sí,No,Sí,Sí,Sí,5,0,3,De acuerdo,De acuerdo,De acuerdo,Sí,No,Sí,Sí,Sí,Sí,No,14,6,5,3,4
Mujer,Española,Entre 55 y 64 años,Bachillerato,Carrús,En paro,Servicio doméstico,Menos de 10 años cotizados,En general responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,Moderada o mucha,Moderada o mucha,Ninguna,Ninguna,Moderada o mucha,Más,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,NS-NC,Sí,No,No,Sí,Sí,Sí,No,Sí,9,9,9,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,12,4,4,3,5
Mujer,Española,De 65 en adelante,Sin estudios,Campo Elche,Jubilado/Pensionista,Otro,Menos de 10 años cotizados,Poco responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,Poca,Moderada o mucha,Poca,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Poca,Poca,NS-NC,Ha aumentado,Sí,Empresario,Sí,No,Sí,No,No,No,Otro,No,No,Sí,Sí,Sí,Sí,No,Sí,0,0,0,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,No,No,Sí,Sí,13,2,5,2,3
Hombre,Española,Entre 55 y 64 años,Título Universitario,Torrellano,Jubilado/Pensionista,Otro,31 o más años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Igual,Ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,No,Sí,No,Sí,8,7,2,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,No,No,No,No,17,6,3,2,2
Mujer,Española,De 65 en adelante,Educación Primaria,Carrús,Jubilado/Pensionista,Servicio doméstico,Nunca he cotizado,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Poca,Igual,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,Sí,Sí,Lo que diga la ley,Sí,No,Sí,Sí,Sí,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,15,5,5,3,5
Mujer,Española,Entre 45 y 54 años,Educación secundaria,Torrellano,Ama/o de casa,Calzado,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Igual,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,No,Sí,No,Sí,2,0,0,En desacuerdo,De acuerdo,De acuerdo,Sí,No,No,Sí,Sí,Sí,No,16,6,3,2,3
Hombre,Española,Entre 25 y 34 años,Educación secundaria,Carrús,Trabajador por cuenta ajena,Construcción,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Igual,Ha aumentado,No,Otro,Sí,Sí,Sí,Sí,No,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,3,1,1,De acuerdo,De acuerdo,De acuerdo,Sí,No,No,Sí,Sí,No,Sí,18,5,7,3,2
Mujer,Española,Entre 45 y 54 años,Educación Primaria,El Pla,En paro,Calzado,Entre 10 y 20 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Más,Ha aumentado,Sí,Empresario,Sí,No,Sí,Sí,Sí,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,8,0,7,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,12,5,6,2,5
Hombre,Española,Entre 55 y 64 años,Educación Primaria,Torrellano,En paro,Otro,31 o más años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,5,6,5,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,18,6,7,3,5
Hombre,Extranjera,Entre 25 y 34 años,Título Universitario,Torrellano,En paro,Resto sector servicios,Menos de 10 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Ni ha disminuido ni ha aumentado,NS-NC,Trabajador y empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,4,5,5,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,17,6,6,3,5
Hombre,Española,Entre 55 y 64 años,Bachillerato,Altabix,Jubilado/Pensionista,Calzado,Entre 21 y 30 años cotizados,Poco responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Otro,Sí,Sí,Sí,No,No,Sí,No,Sí,0,5,0,En desacuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,No,Sí,18,6,4,1,4
Hombre,Española,Entre 18 y 24 años,Formación Profesional,Carrús,Estudiante,Hostelería-Turismo,Menos de 10 años cotizados,En general responsables,Muy responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Poca,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Igual,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,7,6,9,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,15,6,7,3,5
Hombre,Española,De 65 en adelante,Educación Primaria,Ciutat Vella,Jubilado/Pensionista,Otro,31 o más años cotizados,En general responsables,Poco responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Ninguna,Moderada o mucha,Ninguna,Moderada o mucha,Ninguna,NS-NC,Moderada o mucha,NS-NC,NS-NC,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,No,NS-NC,Sí,No,No,No,No,Sí,No,No,3,0,0,En desacuerdo,En desacuerdo,De acuerdo,No,No,No,No,No,No,No,8,3,1,1,0
Hombre,Española,De 65 en adelante,Título Universitario,El Pla,Jubilado/Pensionista,Resto sector servicios,31 o más años cotizados,En general responsables,Muy responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Poca,Menos,Ni ha disminuido ni ha aumentado,NS-NC,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Nada,Sí,No,No,Sí,Sí,Sí,No,Sí,0,0,0,En desacuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,No,No,Sí,No,13,6,4,1,3
Hombre,Española,Entre 35 y 44 años,Educación Primaria,El Pla,Trabajador por cuenta ajena,Resto sector servicios,Entre 10 y 20 años cotizados,Poco responsables,Muy poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Poca,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,No,Sí,Sí,No,Sí,No,Sí,5,2,1,De acuerdo,De acuerdo,De acuerdo,Sí,No,Sí,Sí,Sí,Sí,No,13,4,4,3,4
Hombre,Española,Entre 45 y 54 años,Educación secundaria,Carrús,En paro,Nunca ha trabajado,Menos de 10 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,NS-NC,NS-NC,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,NS-NC,NS-NC,Más,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,No,Sí,No,No,Sí,Nada,NS-NC,Sí,No,Sí,Sí,Sí,No,Sí,2,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,8,3,5,3,5
Mujer,Española,Entre 35 y 44 años,Título Universitario,Altabix,Trabajador por cuenta ajena,Resto sector servicios,Menos de 10 años cotizados,En general responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,Poca,Poca,Poca,Ninguna,Moderada o mucha,Poca,Poca,Poca,Moderada o mucha,Más,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,No,No,No,No,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,6,2,0,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,10,2,7,2,5
